price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
338.900 kr.;2021;37000;2021-03-08;El;77.8;325;A;8210
314.900 kr.;2019;82000;2019-12-05;El;69;491;A;2605
439.990 kr.;2022;8000;2022-02-17;El;75.1;498;A;8700
374.900 kr.;2022;3000;2022-03-01;El;74.1;283;A;7000
389.900 kr.;2021;19000;2021-08-05;El;75.1;476;A;8920
329.800 kr.;2019;36000;2019-09-01;El;74.1;283;A;4140
379.900 kr.;2022;8000;2022-02-16;El;74.1;283;A;7000
389.900 kr.;2021;29000;2021-03-13;El;77.8;325;A;9400
457.000 kr.;2021;19200;2021-12-15;El;66.9;513;A;9000
374.900 kr.;2022;3000;2022-03-04;El;74.1;283;A;7000
359.700 kr.;2021;17000;2021-10-18;El;77.8;325;A;9000
369.900 kr.;2022;8000;2022-02-14;El;74.1;283;A;7000
429.800 kr.;2021;16000;2021-06-17;El;66.9;513;A;6760
377.000 kr.;2020;45000;2020-09-28;El;69;498;A;2630
419.900 kr.;2021;11000;2021-11-24;El;66.9;513;A;7000
419.900 kr.;2021;17000;2021-11-01;El;66.9;513;A;7000
419.900 kr.;2021;14000;2021-08-01;El;66.9;513;A;7000
429.900 kr.;2022;15000;2022-03-07;El;75.1;498;A;7000
399.900 kr.;2021;18000;2021-09-01;El;75.1;498;A;7000
399.900 kr.;2021;18000;2021-10-01;El;75.1;498;A;7000
429.900 kr.;2022;14000;2022-06-03;El;66.9;513;A;8361
359.800 kr.;2021;11400;2021-08-30;El;77.8;325;A;2670
368.800 kr.;2020;54001;2020-01-02;El;66.5;490;A;2670
299.500 kr.;2020;31000;2020-12-08;El;74.1;325;A;8260
324.900 kr.;2021;40000;2021-08-17;El;77.8;325;A;8653
399.900 kr.;2021;6750;2021-12-15;El;77.8;325;A;8260
384.900 kr.;2022;21000;2022-02-02;El;75.1;498;A;7000
419.995 kr.;2021;15000;2021-03-10;El;66.9;513;A;2750
419.900 kr.;2021;12000;2021-12-09;El;75.1;498;A;6000
414.800 kr.;2021;14000;2021-11-29;El;75.1;498;A;6800
314.900 kr.;2020;28000;2020-12-18;El;74.1;325;A;6000
409.800 kr.;2021;25000;2021-09-20;El;75.1;498;A;6400
449.900 kr.;2022;13500;2022-03-18;El;66.9;513;A;6800
419.800 kr.;2022;12000;2022-02-24;El;75.1;498;A;6400
284.900 kr.;2019;94000;2019-09-24;El;74.1;306;A;2200
385.000 kr.;2021;14000;2021-12-10;El;77.8;325;A;2610
385.000 kr.;2021;10000;2022-03-02;El;77.8;325;A;2610
419.900 kr.;2021;12000;2021-11-23;El;66.9;513;A;7000
428.000 kr.;2021;11590;2021-09-02;El;75.1;498;A;9000
415.000 kr.;2021;17000;2021-11-18;El;75.1;498;A;6400
409.800 kr.;2021;14000;2021-11-15;El;75.1;498;A;6400
369.800 kr.;2022;6000;2021-12-16;El;76.7;325;A;4600
334.900 kr.;2020;55000;2020-08-25;El;75.1;476;A;8660
344.890 kr.;2021;21000;2021-12-01;El;77.8;325;A;2770
429.900 kr.;2021;6000;2021-06-15;El;75.1;498;A;5250
408.900 kr.;2021;38000;2021-05-10;El;75.1;498;A;5210
419.900 kr.;2021;39000;2020-12-26;El;66.9;513;A;5800
419.900 kr.;2021;40000;2020-12-28;El;66.9;513;A;5800
339.700 kr.;2021;30000;2021-05-26;El;77.8;283;A;7400
324.900 kr.;2021;18000;2021-11-04;El;77.8;325;A;8361
379.800 kr.;2019;90000;2019-03-19;El;66.5;483;A;9440
461.500 kr.;2022;13377;2022-03-04;El;75.1;498;A;7200
359.800 kr.;2022;12000;2022-02-24;El;76.7;325;A;6400
425.000 kr.;2021;8950;2021-12-29;El;66.9;513;A;9800
419.995 kr.;2021;14000;2021-12-01;El;66.9;513;A;2750
369.700 kr.;2020;50000;2020-08-19;El;69;442;A;9400
398.900 kr.;2020;48000;2019-12-27;El;66.5;513;A;9400
319.400 kr.;2019;77000;2019-06-27;El;74.1;283;A;4600
434.800 kr.;2021;26000;2021-07-28;El;75.1;498;A;4600
419.900 kr.;2021;56000;2021-05-20;El;66.9;513;A;6000
389.900 kr.;2021;63000;2020-11-19;El;75.1;498;A;6000
429.900 kr.;2021;43000;2020-12-08;El;75.1;476;A;7400
354.800 kr.;2022;10000;2022-02-01;El;76.7;325;A;2770
354.800 kr.;2022;11000;2022-03-15;El;76.7;325;A;4100
424.800 kr.;2021;22000;2021-12-06;El;75.1;498;A;8700
329.900 kr.;2019;75000;2019-03-29;El;69;462;A;7000
359.800 kr.;2019;85639;2019-05-20;El;75.1;283;A;4600
379.900 kr.;2021;8000;2021-12-14;El;77.8;325;A;2860
364.800 kr.;2021;18000;2021-08-18;El;77.8;283;A;4600
399.900 kr.;2021;80000;2020-11-26;El;75.1;498;A;2620
409.800 kr.;2021;17000;2021-11-23;El;75.1;498;A;6800
359.990 kr.;2022;18000;2022-02-25;El;74.1;283;A;9280
