price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
49.900 kr.;2013;200000;2012-10-26;Benzin;24.4;60;M;5491
114.500 kr.;2019;86000;2019-07-05;Benzin;26.2;60;M;4200
84.700 kr.;2017;73000;2016-11-01;Benzin;24.4;60;M;2630
59.900 kr.;2014;120000;2014-05-13;Benzin;24.4;60;M;4600
63.000 kr.;2015;79000;2014-10-01;Benzin;24.4;60;M;2930
64.500 kr.;2012;142000;2012-05-31;Benzin;23.8;75;M;6000
140.000 kr.;2020;19000;2020-08-04;Benzin;25;60;M;9900
69.900 kr.;2014;113000;2014-07-30;Benzin;24.4;60;M;5580
99.800 kr.;2018;91000;2018-04-17;Benzin;24.4;60;M;2970
99.800 kr.;2018;87000;2018-02-13;Benzin;24.4;60;M;3460
48.000 kr.;2014;153000;2013-12-01;Benzin;24.4;60;M;3050
74.900 kr.;2014;109000;2014-08-28;Benzin;24.4;60;M;7000
83.000 kr.;2017;85000;2016-12-01;Benzin;24.4;60;M;9210
103.900 kr.;2015;19000;2014-10-01;Benzin;24.4;60;M;3000
64.700 kr.;2015;104000;2015-06-08;Benzin;24.4;60;M;9500
123.980 kr.;2019;45000;2019-03-11;Benzin;23.8;60;M;8600
179.900 kr.;2019;70000;2018-09-03;Benzin;20.8;115;M;6400
104.900 kr.;2018;75000;2018-07-16;Benzin;24.4;60;M;6000
74.900 kr.;2014;61000;2014-01-15;Benzin;24.4;60;M;2600
89.900 kr.;2016;78000;2015-12-23;Benzin;24.4;60;M;2800
49.800 kr.;2014;110000;2013-07-23;Benzin;24.4;60;M;4700
129.900 kr.;2020;29000;2020-03-18;Benzin;25;60;M;5260
145.000 kr.;2020;5000;2019-10-25;Benzin;25;60;M;4000
123.980 kr.;2019;31000;2019-11-01;Benzin;24.4;60;M;8600
83.000 kr.;2018;59000;2017-09-01;Benzin;24.4;60;M;8410
104.900 kr.;2018;59000;2018-06-22;Benzin;24.4;60;M;9400
122.800 kr.;2019;35000;2019-06-20;Benzin;26.2;60;M;8700
102.000 kr.;2019;31000;2019-03-01;Benzin;26.2;60;M;3070
54.900 kr.;2013;158000;2012-07-10;Benzin;23.8;75;M;8300
97.900 kr.;2016;111000;2016-01-27;Benzin;24.4;75;A;2650
59.900 kr.;2012;155000;2012-06-11;Benzin;24.4;60;M;2600
65.000 kr.;2017;155000;2016-11-01;Benzin;24.4;60;M;8464
84.900 kr.;2018;121000;2017-11-24;Benzin;24.4;60;M;7900
84.900 kr.;2016;92000;2016-04-08;Benzin;24.4;60;M;6270
119.800 kr.;2020;52000;2019-10-18;Benzin;25;60;M;8700
89.895 kr.;2018;82921;2017-07-14;Benzin;24.4;60;M;2605
104.800 kr.;2018;58000;2018-08-31;Benzin;24.4;60;M;4000
94.900 kr.;2018;89000;2018-11-19;Benzin;22.7;60;M;2610
25.000 kr.;2012;293000;2012-06-07;Benzin;22.2;60;M;7700
69.800 kr.;2014;43000;2013-07-18;Benzin;24.4;60;M;4000
46.800 kr.;2013;258000;2012-11-23;Benzin;23.8;75;M;8680
99.900 kr.;2017;92000;2017-09-01;Benzin;22.7;90;M;3650
119.900 kr.;2019;50000;2019-07-08;Benzin;26.2;60;M;7160
54.900 kr.;2015;150000;2015-10-09;Benzin;24.4;60;M;7160
56.500 kr.;2015;132000;2015-05-01;Benzin;24.4;60;M;3520
79.500 kr.;2015;45000;2015-04-01;Benzin;24.4;60;M;8320
117.500 kr.;2019;65000;2019-04-25;Benzin;26.2;60;M;7160
104.000 kr.;2020;22000;2019-10-01;Benzin;25;60;M;6715
109.900 kr.;2018;35000;2017-10-19;Benzin;24.4;60;M;8930
109.700 kr.;2017;117000;2017-03-16;Benzin;22.7;90;M;5600
74.900 kr.;2016;66000;2016-05-20;Benzin;24.4;60;M;8930
119.900 kr.;2019;58000;2019-07-30;Benzin;26.2;60;M;7160
79.995 kr.;2016;53000;2016-01-14;Benzin;24.4;60;M;4600
