price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
139.900 kr.;2019;80000;2019-08-29;Diesel;33.3;100;M;9100
89.900 kr.;2016;119000;2016-08-15;Diesel;33.3;100;M;9100
56.900 kr.;2014;107000;2014-04-10;Benzin;23.3;68;M;2650
209.900 kr.;2020;20000;2020-10-30;Benzin;26.2;100;M;2630
99.900 kr.;2017;72000;2017-03-15;Benzin;22.2;82;M;2610
89.500 kr.;2018;131000;2018-06-22;Benzin;23.3;82;M;5260
89.900 kr.;2018;129000;2018-06-22;Benzin;23.3;82;M;7000
69.900 kr.;2015;160000;2015-07-27;Benzin;22.2;82;M;5000
169.900 kr.;2021;23000;2021-01-28;Benzin;22.8;75;M;9500
192.500 kr.;2020;55000;2020-11-19;Diesel;34.4;100;M;4200
99.900 kr.;2018;104000;2018-06-22;Benzin;23.3;82;M;2605
99.880 kr.;2017;108000;2017-08-01;Diesel;33.3;100;M;3400
94.900 kr.;2016;157800;2016-05-19;Diesel;33.3;100;M;4600
144.900 kr.;2020;53000;2020-03-30;Diesel;33.3;100;M;7000
119.800 kr.;2018;83000;2018-06-18;Diesel;33.3;100;M;9440
168.900 kr.;2021;25000;2021-01-28;Benzin;22.8;75;M;6950
174.500 kr.;2020;43000;2020-03-03;Diesel;34.4;100;M;5260
67.500 kr.;2012;84000;2013-08-01;Benzin;22.2;82;M;4700
184.900 kr.;2021;15000;2021-04-21;Benzin;22.8;75;M;9100
214.900 kr.;2022;20000;2022-03-31;Benzin;23.7;100;M;4200
184.900 kr.;2022;16000;2022-03-30;Benzin;22.8;75;M;4200
189.900 kr.;2021;27000;2021-12-01;Benzin;22.8;100;M;4200
189.900 kr.;2021;27000;2021-10-27;Benzin;22.8;100;M;4200
189.900 kr.;2021;20000;2021-10-26;Benzin;22.8;100;M;4200
104.900 kr.;2017;77000;2017-04-28;Diesel;33.3;100;M;9100
89.900 kr.;2015;79000;2015-11-18;Benzin;23.3;82;M;9100
119.900 kr.;2018;88000;2018-05-01;Diesel;33.3;100;M;8763
99.900 kr.;2018;109000;2019-08-26;Benzin;23.3;82;M;7000
79.800 kr.;2014;94000;2014-06-27;Benzin;22.2;82;M;4000
219.900 kr.;2020;34000;2020-11-20;Benzin;25.6;100;A;2605
159.900 kr.;2020;13000;2020-11-19;Benzin;26.8;75;M;7000
184.900 kr.;2022;11000;2022-04-20;Benzin;22.8;75;M;4200
124.800 kr.;2019;145500;2019-01-03;Diesel;30.6;100;M;4600
189.900 kr.;2021;24000;2021-10-06;Benzin;22.8;100;M;4200
214.900 kr.;2020;44000;2020-10-19;Benzin;25.6;100;A;7000
184.900 kr.;2022;12000;2022-03-30;Benzin;22.8;75;M;4200
59.999 kr.;2016;217000;2016-03-29;Diesel;33.3;100;M;3000
199.900 kr.;2021;65000;2021-04-14;Diesel;29.5;100;M;8600
189.900 kr.;2021;27000;2021-10-26;Benzin;22.8;100;M;4200
67.800 kr.;2012;62000;2013-02-26;Benzin;23.3;68;M;5240
109.900 kr.;2018;69000;2018-11-09;Benzin;23.3;82;M;4700
259.900 kr.;2022;4500;2022-01-31;Benzin;22.4;100;A;5683
99.990 kr.;2017;81000;2017-08-03;Benzin;23.3;82;M;4700
119.990 kr.;2017;68000;2017-03-06;Diesel;33.3;100;M;4700
55.000 kr.;2012;158000;2013-09-17;Benzin;23.3;68;M;2650
209.900 kr.;2021;11777;2021-10-28;Benzin;22.8;100;M;8240
57.900 kr.;2013;141200;2013-04-17;Benzin;23.3;68;M;4600
59.900 kr.;2015;135000;2015-09-09;Benzin;22.7;68;M;2840
184.900 kr.;2021;6000;2021-05-25;Benzin;22.8;100;M;8700
119.900 kr.;2019;42000;2019-05-09;Benzin;23.4;82;M;4700
89.500 kr.;2016;85000;2016-08-17;Diesel;33.3;100;M;5260
55.000 kr.;2014;76000;2014-01-01;Benzin;23.3;68;M;8230
109.900 kr.;2017;89000;2017-02-22;Diesel;33.3;100;M;6200
119.900 kr.;2019;63000;2019-04-17;Benzin;23.4;82;M;7100
86.000 kr.;2017;102000;2017-03-01;Diesel;33.3;100;M;8000
104.900 kr.;2018;96733;2018-06-20;Diesel;33.3;100;M;5683
102.900 kr.;2016;84000;2016-08-30;Diesel;33.3;100;M;5683
55.000 kr.;2012;151000;2012-11-01;Diesel;26.3;92;M;8500
189.900 kr.;2021;4500;2021-12-16;Benzin;22.8;75;M;2800
127.990 kr.;2018;21000;2019-03-05;Benzin;23.3;82;M;2770
46.200 kr.;2014;294000;2014-06-01;Diesel;30.3;92;M;4700
109.900 kr.;2018;120000;2018-02-13;Diesel;33.3;100;M;5210
129.900 kr.;2017;38000;2017-03-31;Benzin;22.2;82;M;6200
159.800 kr.;2019;3000;2018-10-30;Benzin;24.4;110;M;6000
95.000 kr.;2018;145000;2017-11-15;Diesel;33.3;100;M;4243
184.980 kr.;2020;39000;2020-07-22;Benzin;26.2;100;M;2750
124.900 kr.;2017;87184;2017-06-16;Diesel;33.3;100;M;5683
134.900 kr.;2019;42600;2019-01-29;Benzin;23.4;82;M;8600
99.990 kr.;2017;88000;2017-11-02;Benzin;23.3;82;M;4700
114.799 kr.;2018;83000;2018-08-28;Diesel;33.3;100;M;4951
54.500 kr.;2015;224000;2015-04-09;Diesel;33.3;100;M;6270
49.900 kr.;2012;241000;2012-04-26;Diesel;29.4;68;A;7130
119.900 kr.;2018;36000;2018-01-18;Benzin;23.3;82;M;5400
94.900 kr.;2016;163200;2016-04-19;Diesel;33.3;100;M;4600
184.990 kr.;2022;4077;2022-01-24;Benzin;23.3;75;M;2100
144.900 kr.;2019;53000;2019-06-04;Diesel;30.6;100;M;5683
89.900 kr.;2018;115000;2018-06-22;Benzin;23.3;82;M;3400
209.900 kr.;2020;38200;2020-01-08;Diesel;34.4;100;M;7500
219.900 kr.;2022;12600;2022-02-17;Benzin;22.8;100;M;7500
114.900 kr.;2018;82000;2018-06-29;Diesel;33.3;100;M;6600
169.900 kr.;2021;40000;2021-05-11;Benzin;22.8;100;M;2630
122.995 kr.;2018;72000;2018-02-26;Diesel;33.3;100;M;8700
134.900 kr.;2019;63000;2019-03-25;Diesel;30.6;100;M;8660
129.900 kr.;2018;59000;2018-10-15;Diesel;29.7;100;M;8700
53.500 kr.;2012;95000;2013-08-29;Benzin;23.3;68;M;8200
185.000 kr.;2020;68000;2020-10-01;Diesel;34.4;100;M;4261
214.900 kr.;2022;14000;2022-01-14;Benzin;22.8;100;M;7323
49.900 kr.;2012;176000;2013-04-30;Benzin;22.2;82;M;6100
