price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
46.500 kr.;2016;150000;2016-04-04;Benzin;24.4;60;M;4100
92.800 kr.;2019;92000;2019-05-01;Benzin;23.8;60;M;9320
94.900 kr.;2018;70000;2018-01-31;Benzin;24.4;60;M;9000
64.900 kr.;2017;89900;2016-11-14;Benzin;24.4;60;M;6880
39.900 kr.;2013;186000;2013-01-30;Benzin;23.8;75;M;9640
59.900 kr.;2013;157700;2012-10-25;Benzin;23.8;75;M;4200
59.900 kr.;2013;163000;2012-09-20;Benzin;21.3;75;M;6800
59.900 kr.;2013;79000;2012-10-24;Benzin;22.2;60;M;7100
69.500 kr.;2016;88000;2016-09-01;Benzin;24.4;60;M;6000
49.700 kr.;2014;164000;2013-08-02;Benzin;24.4;60;M;7400
66.600 kr.;2015;78800;2014-10-01;Benzin;24.4;60;M;2750
42.500 kr.;2013;136000;2012-10-01;Benzin;22.2;60;M;2500
99.000 kr.;2019;44000;2019-01-01;Benzin;26.2;60;M;5500
89.900 kr.;2017;94000;2017-03-03;Benzin;24.4;60;M;5580
79.900 kr.;2019;154000;2018-10-29;Benzin;26.2;60;M;5580
85.999 kr.;2015;75000;2014-09-08;Benzin;22.7;60;A;4000
49.900 kr.;2013;122000;2012-07-26;Benzin;24.4;60;M;8653
82.900 kr.;2018;67000;2017-11-13;Benzin;24.4;60;M;8800
73.700 kr.;2016;70000;2016-03-21;Benzin;24.4;60;M;9310
59.900 kr.;2015;83000;2015-05-06;Benzin;24.4;60;M;8660
24.900 kr.;2013;351000;2013-02-01;Benzin;22.2;60;M;6100
21.900 kr.;2013;387000;2013-02-01;Benzin;22.2;60;M;6100
109.990 kr.;2019;38000;2019-08-01;Benzin;26.2;60;M;3500
99.900 kr.;2015;17300;2014-10-17;Benzin;22.7;60;A;3320
59.900 kr.;2018;154000;2017-10-02;Benzin;24.4;60;M;3520
119.900 kr.;2019;17000;2019-08-16;Benzin;26.2;60;M;9800
89.800 kr.;2018;79000;2017-12-20;Benzin;24.4;60;M;4180
69.500 kr.;2016;82000;2015-09-14;Benzin;24.4;60;M;8600
64.800 kr.;2016;185000;2016-08-24;Benzin;24.4;60;M;6705
40.000 kr.;2013;147000;2013-02-01;Benzin;24.4;60;M;5000
56.800 kr.;2014;125000;2013-10-31;Benzin;24.4;60;M;7400
69.900 kr.;2018;94000;2017-09-29;Benzin;24.4;60;M;2860
64.800 kr.;2018;135000;2018-01-01;Benzin;24.4;60;M;4600
59.900 kr.;2016;144000;2016-02-03;Benzin;24.4;60;M;6670
